"abalo sísmico"OR"abalo sismico"
"acampamento militar"
"agente secreto"
"alarme falso"
"algodão-doce"OR"algodão doce"OR"algodao doce"
"alta temporada"
"alta-costura"OR"alta costura"
"alto mar"
"alto-falante"OR"alto falante"
"amigo oculto"
"amigo secreto"
"amor-próprio"OR"amor próprio"OR"amor proprio"
"ano-novo"OR"ano novo"
"ar condicionado"
"ar livre"
"arma branca"
"ato falho"
"banho turco"
"batata-doce"OR"batata doce"
"bebida alcoólica"OR"bebida alcoolica"
"bode expiatório"OR"bode expiatorio"
"braço direito"OR"braco direito"
"buraco negro"
"café colonial"OR"cafe colonial"
"caixa-forte"OR"caixa forte"
"caixa-preta"OR"caixa preta"
"caixeiro viajante"
"carne branca"
"carne vermelha"
"carro-forte"OR"carro forte"
"carta aberta"
"centro comercial"
"centro espírita"OR"centro espirita"
"cerca viva"
"cheiro-verde"OR"cheiro verde"
"circuito integrado"
"classe executiva"
"coluna social"
"colégio militar"OR"colegio militar"
"comida caseira"
"companhia aérea"OR"companhia aerea"
"compound"
"conta-corrente"OR"conta corrente"
"coração partido"OR"coracao partido"
"corda bamba"
"cordas vocais"
"curto-circuito"OR"curto circuito"
"câmara fria"OR"camara fria"
"céu aberto"OR"ceu aberto"
"círculo vicioso"OR"circulo vicioso"
"círculo virtuoso"OR"circulo virtuoso"
"deputado federal"
"desfile militar"
"direitos humanos"
"disco rígido"OR"disco rigido"
"disco voador"
"efeito especial"
"elefante branco"
"escada rolante"
"estrela cadente"
"exame clínico"OR"exame clinico"
"exame laboratorial"
"farinha integral"
"febre amarela"
"ficha limpa"
"fila indiana"
"fio condutor"
"força bruta"OR"forca bruta"
"gato-pingado"OR"gato pingado"
"gelo-seco"OR"gelo seco"
"golpe baixo"
"governo federal"
"gripe aviária"OR"gripe aviaria"
"gripe suína"OR"gripe suina"
"guarda-florestal"OR"guarda florestal"
"jogo duro"
"juízo final"OR"juizo final"
"leite integral"
"lista negra"
"livre-docente"OR"livre docente"
"livro aberto"
"longa data"
"longa-metragem"OR"longa metragem"
"lua cheia"
"lua nova"
"lugar-comum"OR"lugar comum"
"magia negra"
"mar aberto"
"maré alta"OR"mare alta"
"maré baixa"OR"mare baixa"
"massa cinzenta"
"mau contato"
"mau-humor"OR"mau humor"
"mau-olhado"OR"mau olhado"
"mercado negro"
"mesa-redonda"OR"mesa redonda"
"montanha-russa"OR"montanha russa"
"má-fé"OR"má fé"OR"ma fe"
"máquina virtual"OR"maquina virtual"
"mão-fechada"OR"mão fechada"OR"mao fechada"
"navio negreiro"
"novo mundo"
"novo-rico"OR"novo rico"
"nó cego"OR"no cego"
"núcleo atômico"OR"nucleo atomico"
"olho gordo"
"olho mágico"OR"olho magico"
"olho nu"
"ovelha negra"
"papel higiênico"OR"papel higienico"
"paraíso fiscal"OR"paraiso fiscal"
"pastor alemão"OR"pastor alemao"
"pau-mandado"OR"pau mandado"
"pavio curto"
"pente fino"
"peso morto"
"planta baixa"
"ponto cego"
"ponto forte"
"ponto fraco"
"poção mágica"OR"pocao magica"
"prato feito"
"primeira infância"OR"primeira infancia"
"primeira mão"OR"primeira mao"
"primeira necessidade"
"primeira-dama"OR"primeira dama"
"primeiro ministro"
"primeiro plano"
"processo seletivo"
"pronto-socorro"OR"pronto socorro"
"príncipe encantado"OR"principe encantado"
"puro-sangue"OR"puro sangue"
"pão-duro"OR"pão duro"OR"pao duro"
"pé quente"OR"pe quente"
"pé-direito"OR"pé direito"OR"pe direito"
"pé-frio"OR"pé frio"OR"pe frio"
"pólo-aquático"OR"pólo aquático"OR"polo aquatico"
"quadro-negro"OR"quadro negro"
"queda livre"
"quinta categoria"
"rede social"
"regime político"OR"regime politico"
"relógio analógico"OR"relogio analogico"
"relógio biológico"OR"relogio biologico"
"reta final"
"roda gigante"
"roleta russa"
"saia justa"
"sala cirúrgica"OR"sala cirurgica"
"salão paroquial"OR"salao paroquial"
"sangue azul"
"sangue frio"
"sangue quente"
"secretária eletrônica"OR"secretaria eletronica"
"segundas intenções"OR"segundas intencoes"
"segundo plano"
"sentença judicial"OR"sentenca judicial"
"sexto sentido"
"sinal verde"
"sistema político"OR"sistema politico"
"sétima arte"OR"setima arte"
"tapete vermelho"
"tartaruga-marinha"OR"tartaruga marinha"
"tela plana"
"tempo real"
"terceira idade"
"terceira pessoa"
"tiro livre"
"trabalho braçal"OR"trabalho bracal"
"trabalho escravo"
"vaca louca"
"vinho branco"
"vinho tinto"
"vista grossa"
"viva voz"
"voto secreto"
"vôo doméstico"OR"voo domestico"
"vôo internacional"OR"voo internacional"
"água doce"OR"agua doce"
"água mineral"OR"agua mineral"
"ônibus executivo"OR"onibus executivo"
